nm,pres_stat,bnf_code
Chlorpromazine 100mg/5ml oral suspension,1,0402010D0AAA2A2
Co-dydramol 10mg/500mg/5ml oral solution,1,0407010N0AAACAC
Paracetamol 500mg/5ml oral solution,1,0407010H0AACPCP
Phenytoin 90mg/5ml oral solution,1,0408010Q0AAAYAY
Diazepam 2.5mg/5ml oral suspension,1,0401020K0AACBCB
Cavity dressing 2cm x 50cm,4,20030800131
Cavity dressing 5cm x 200cm,4,20030800132
Soft polymer wound contact dressing 5cm x 7cm,4,20031600052
Silver impregnated polyurethane foam film dressing without adhesive border 5cm x 7cm,4,20030600284
Cycloidal vibration accessories,4,21310000100
Dimeticone 10% / Cetrimide 0.5% cream,1,1302020D0AAAHAH
Gabapentin 400mg/5ml oral suspension,1,0408010G0AAAYAY
Gabapentin 400mg/5ml oral solution,1,0408010G0AAAYAY
Pyridostigmine bromide 4mg/5ml oral solution,1,1002010Q0AABEBE
Pyridostigmine bromide 4mg/5ml oral suspension,1,1002010Q0AABEBE
Olanzapine 2.5mg/5ml oral solution,1,040201060AAAIAI
Olanzapine 2.5mg/5ml oral suspension,1,040201060AABABA
Carvedilol 1.5mg/5ml oral suspension,1,020400080AAAMAM
"Colecalciferol 30,000units/5ml oral suspension",1,0906040G0AAAYAY
Low protein cake,4,0904010ASAAAAAA
Liothyronine 2.5microgram capsules,1,0602010M0AAAIAI
Lisinopril 37.5mg/5ml oral solution,1,0205051L0AAASAS
Lisinopril 37.5mg/5ml oral suspension,1,0205051L0AAASAS
Phenytoin sodium 400mg/5ml oral solution,1,0408010Q0AAAZAZ
Phenytoin sodium 400mg/5ml oral suspension,1,0408010Q0AAAZAZ
Tizanidine 8mg/5ml oral solution,1,1002020T0AAAHAH
Tizanidine 8mg/5ml oral suspension,1,1002020T0AAAHAH
Potassium citrate 6.488g/5ml oral solution,1,0704030G0AAAZAZ
Terbinafine 250mg/5ml oral suspension,1,0502050C0AAAFAF
Terbinafine 250mg/5ml oral solution,1,0502050C0AAAEAE
Lansoprazole 30mg/5ml oral solution,1,0103050L0AAAJAJ
Lansoprazole 30mg/5ml oral suspension,1,0103050L0AAAYAY
Fexofenadine 120mg/5ml oral solution,1,0304010E0AAADAD
Fexofenadine 120mg/5ml oral suspension,1,0304010E0AAADAD
Venlafaxine 75mg/5ml oral solution,1,0403040W0AAAQAQ
Venlafaxine 75mg/5ml oral suspension,1,0403040W0AAARAR
Pregabalin 75mg/5ml oral solution,1,0408010AEAAAHAH
Pregabalin 75mg/5ml oral suspension,1,0408010AEAAAHAH
Sodium cromoglicate 100mg/5ml oral solution,1,0105040A0AAABAB
"Ergocalciferol 400,000units/5ml oral suspension",1,0906040N0AAETET
"Ergocalciferol 400,000units/5ml oral solution",1,0906040N0AAETET
Venlafaxine 150mg/5ml oral solution,1,0403040W0AAAIAI
Venlafaxine 37.5mg/5ml oral solution,1,0403040W0AAANAN
Atorvastatin 20mg/5ml oral solution,1,0212000B0AAAFAF
Atorvastatin 20mg/5ml oral suspension,1,0212000B0AAAQAQ
Pyridostigmine bromide 180mg/5ml oral solution,1,1002010Q0AABDBD
Pyridostigmine bromide 180mg/5ml oral suspension,1,1002010Q0AABDBD
Quetiapine 100mg/5ml oral solution,1,0402010ABAAAMAM
Quetiapine 100mg/5ml oral suspension,1,0402010ABAAAMAM
Nortriptyline 25mg/5ml oral solution,1,0403010V0AAAQAQ
Nortriptyline 25mg/5ml oral suspension,1,0403010V0AAAQAQ
Aluminium acetate 13% ear drops,1,1201010C0AAABAB
Vapour-permeable adhesive film dressing 10cm x 2m,2,20030100505
Melatonin 5mg/5ml oral solution,1,0401010ADAABABA
Melatonin 5mg/5ml oral suspension,1,0401010ADAABXBX
Lamotrigine 25mg/5ml oral solution,1,0408010H0AABRBR
Lamotrigine 25mg/5ml oral suspension,1,0408010H0AABRBR
Sildenafil 25mg/5ml oral solution,1,0704050Z0AAAFAF
Sildenafil 25mg/5ml oral suspension,1,0704050Z0AAALAL
Trandolapril 2mg/5ml oral suspension,1,0205051U0AAAGAG
Co-careldopa 25mg/100mg/5ml oral solution,1,0409010N0AAAKAK
Sodium chloride 6% inhalation solution 4ml ampoules,1,21320000100
Tolterodine 2mg/5ml oral solution,1,0704020N0AAAEAE
Tolterodine 2mg/5ml oral suspension,1,0704020N0AAAJAJ
Atorvastatin 40mg/5ml oral solution,1,0212000B0AAAGAG
Atorvastatin 40mg/5ml oral suspension,1,0212000B0AAAGAG
Sildenafil 5mg/5ml oral solution,1,0704050Z0AAAEAE
Sildenafil 5mg/5ml oral suspension,1,0704050Z0AAAEAE
Losartan 50mg/5ml oral solution,1,0205052N0AAAEAE
Losartan 50mg/5ml oral suspension,1,0205052N0AAAJAJ
Megestrol 40mg/5ml oral suspension,1,0803020L0AAAHAH
Omeprazole 15mg/5ml oral solution,1,0103050P0AABHBH
Omeprazole 15mg/5ml oral suspension,1,0103050P0AABHBH
Glycopyrronium bromide 2% cream,1,1312000G0AAANAN
Bisoprolol 7.5mg/5ml oral solution,1,0204000H0AABBBB
Bisoprolol 7.5mg/5ml oral suspension,1,0204000H0AABBBB
Atorvastatin 10mg/5ml oral solution,1,0212000B0AAAHAH
Atorvastatin 10mg/5ml oral suspension,1,0212000B0AAAHAH
Calcium carbonate 120mg/5ml oral suspension,1,0101021C0AACWCW
Prednisolone 1.67mg/5ml oral solution,1,0603020T0AABJBJ
Prednisolone 1.67mg/5ml oral suspension,1,0603020T0AABJBJ
Deferiprone 100mg/ml oral solution sugar free,1,0901030I0AAAEAE
Lidocaine 4% cream,1,1502010I0AAAKAK
Losartan 25mg/5ml oral suspension,1,0205052N0AAAGAG
Losartan 25mg/5ml oral solution,1,0205052N0AAAGAG
Gabapentin 800mg/5ml oral solution,1,0408010G0AABCBC
Gabapentin 800mg/5ml oral suspension,1,0408010G0AABCBC
Tobramycin 3mg/ml eye drops,1,1103010X0AAAAAA
Lacosamide 15mg/ml oral solution sugar free,1,0408010AHAAAFAF
Clobazam 1.25mg/5ml oral solution,1,040801060AACLCL
Clobazam 1.25mg/5ml oral suspension,1,040801060AACLCL
Testosterone 1% ointment,1,0604020K0AAAJAJ
Sodium methyl acrylate dressing 10cm x 22cm,2,20032300001
Sodium methyl acrylate dressing 20cm x 22cm,2,20032300002
Silver impregnated polyurethane foam film dressing without adhesive border 10.5cm x 13.5cm,4,20030600275
Neuropathy sweat detection pads,4,060106000BBABA0
Labetalol 5mg/5ml oral solution,1,0204000I0AAARAR
Labetalol 5mg/5ml oral suspension,1,0204000I0AAARAR
Entecavir 50micrograms/ml oral solution sugar free,1,0503031B0AAACAC
Generic Sunnyvale organic rye bread with sunflower seeds,4,0904010U0AAAAAA
Generic Sunnyvale organic rye bread with poppy seeds,4,0904010U0AAAAAA
Nitrous oxide 50% / Oxygen 50%,1,1501020R0AAAHAH
Olmesartan medoxomil 10mg/5ml oral solution,1,0205052B0AAADAD
Olmesartan medoxomil 10mg/5ml oral suspension,1,0205052B0AAADAD
Generic Elena's Day Cream Special and Night Cream Extra,4,130501000BBBIA0
Sodium chloride 1.175g/5ml oral solution,1,0902012L0AADBDB
Generic K-Four multi-layer compression bandage kit less than 18cm ankle circumference,4,20020201046
Generic K-Four multi-layer compression bandage kit 25cm-30cm ankle circumference,4,20020201047
Generic K-Four multi-layer compression bandage kit greater than 30cm ankle circumference,4,20020201048
Generic K-Four Reduced Compression multi-layer compression bandage kit 18cm+ ankle circumference,4,20020201049
Lancets sterile single use 0.63mm/23gauge,2,21010900740
White soft paraffin 14.5% / Liquid paraffin 12.6% cream,9,21220000215
Ribavirin 40mg/ml oral solution,1,0503050B0AAAHAH
Thioridazine 50mg/5ml oral suspension,1,0402010W0AAAYAY
Salicylic acid 5% ointment,1,1305020S0AAAGAG
Cyclomethicone 50% / Isopropyl myristate 50% solution,9,21012400106
Glycopyrronium bromide 800micrograms/5ml oral suspension,1,0102000L0AAARAR
Glycopyrronium bromide 800micrograms/5ml oral solution,1,0102000L0AAARAR
Lansoprazole 7.5mg/5ml oral solution,1,0103050L0AAANAN
Lansoprazole 7.5mg/5ml oral suspension,1,0103050L0AAANAN
Lormetazepam 125micrograms/5ml oral suspension,1,0401010P0AAAHAH
Theophylline 60mg/5ml oral suspension,1,0301030S0AAAGAG
Diphencyprone 0.01% in acetone liquid,1,130900000AABCBC
Diphencyprone 0.025% in acetone liquid,1,130900000AABDBD
Diphencyprone 2% in acetone liquid,1,130900000AABEBE
Diphencyprone 2.5% in acetone liquid,1,130900000AABFBF
Glucose 25% in glycerol nasal drops,1,21240000180
Generic Emerita Pro-Gest cream,4,131500000BBNBA0
"Colecalciferol 4,000units/5ml oral suspension",1,0906040G0AAAZAZ
Sodium hyaluronate 0.2% eye drops 0.4ml unit dose preservative free,9,21300000107
Alfentanil 0.1% nasal spray,1,1501043A0AAAEAE
Aluminium acetate 8% ear drops,1,1201010C0AAAAAA
Pravastatin 5mg/5ml oral solution,1,0212000X0AAAKAK
Pravastatin 5mg/5ml oral suspension,1,0212000X0AAAKAK
Generic Fresubin 2250 Complete liquid,4,090402000BBSAA0
Hypromellose 0.065% eye drops,1,1108010F0AABQBQ
Sodium dihydrogen phosphate dihydrate 780mg/5ml oral solution,1,0905021L0AAASAS
Sodium dihydrogen phosphate dihydrate 780mg/5ml oral suspension,1,0905021L0AAAGAG
Modafinil 100mg/5ml oral solution,1,0404000R0AAADAD
Modafinil 100mg/5ml oral suspension,1,0404000R0AAAEAE
Liothyronine 10microgram capsules,1,0602010M0AAAUAU
Topiramate 35mg/5ml oral solution,1,040801050AABRBR
Topiramate 35mg/5ml oral suspension,1,040801050AABRBR
Diclofenac 4% cutaneous spray,1,1003020U0AAAHAH
Nortriptyline 10mg/5ml oral solution,1,0403010V0AAANAN
Nortriptyline 10mg/5ml oral suspension,1,0403010V0AAAGAG
Dexamfetamine 20mg/5ml oral solution,1,0404000L0AABJBJ
Sodium polyacrylate cellulose dressing 10cm x 10cm square,2,20031700096
Sodium polyacrylate cellulose dressing 20cm x 20cm square,2,20031700097
Sodium polyacrylate cellulose dressing 10cm x 20cm rectangular,2,20031700098
Generic Epaderm cream,4,21220000101
Absorbable synthetic suture 1.5gauge 70cm length with 18mm 3/8 curved round bodied needle,4,20110000471
Absorbable synthetic suture 1gauge 45cm length with 11mm 3/8 curved reverse cutting needle,4,20110000472
Absorbable synthetic suture 1.5gauge 70cm length with 19mm 3/8 curved reverse cutting needle,4,20110000473
Absorbable synthetic suture 2gauge 70cm length with 19mm 3/8 curved reverse cutting needle,4,20110000474
Absorbable synthetic suture 3gauge 90cm length with 37mm 1/2 circle tapercut needle,4,20110000475
Absorbable synthetic suture 1.5gauge 70cm length with 16mm 3/8 curved reverse cutting needle,4,20110000476
Absorbable synthetic suture 2gauge 70cm length with 24mm 3/8 curved reverse cutting needle,4,20110000477
Elasticated viscose stockinette leggings 6-24 months,4,20090000992
Elasticated viscose stockinette socks 6 months-8 years,4,20090001000
Non-absorbable synthetic polyamide monofilament suture 0.7gauge 45cm length with 16mm 3/8 curved reverse cutting needle,4,20110000481
Non-absorbable synthetic polyamide monofilament suture 1.5gauge 45cm length with 19mm 3/8 curved reverse cutting needle,4,20110000482
Non-absorbable synthetic polyamide monofilament suture 2gauge 45cm length with 24mm 3/8 curved reverse cutting needle,4,20110000483
Non-absorbable synthetic polypropylene monofilament suture 1.5gauge 45cm length with 24mm 3/8 curved reverse cutting needle,4,20110000484
Elasticated viscose stockinette gloves large child,4,20090001007
Elasticated viscose stockinette gloves small adult,4,20090001008
Elasticated viscose stockinette body suit up to 3 months,4,20090000990
Elasticated viscose stockinette body suit 3-6 months,4,20090000991
Omeprazole 8.5mg/5ml oral solution,1,0103050P0AABJBJ
Omeprazole 8.5mg/5ml oral suspension,1,0103050P0AABJBJ
Pregabalin 150mg/5ml oral solution,1,0408010AEAAAJAJ
Pregabalin 150mg/5ml oral suspension,1,0408010AEAAAJAJ
Coal tar 1% in Aqueous cream,1,1305020C0AAEZEZ
Coal tar 10% in Yellow soft paraffin,1,1305020C0AABSBS
Coal tar 12% in White soft paraffin,1,1305020C0AAELEL
Coal tar 15% in Yellow soft paraffin,1,1305020C0AAEEEE
Coal tar 20% in Yellow soft paraffin,1,1305020C0AAEKEK
Coal tar 25% in Yellow soft paraffin,1,1305020C0AAEFEF
Bisoprolol 625micrograms/5ml oral solution,1,0204000H0AABDBD
Bisoprolol 625micrograms/5ml oral suspension,1,0204000H0AABDBD
Alendronic acid 70mg/5ml oral solution,1,0606020A0AAAEAE
Coal tar 10% in Aqueous cream,1,1305020C0AAFAFA
Theophylline 250mg/5ml oral solution,1,0301030S0AABEBE
Theophylline 250mg/5ml oral suspension,1,0301030S0AABEBE
Colestyramine 5% cream,1,1303000E0AAABAB
Nadolol 80mg/5ml oral solution,1,0204000M0AAAEAE
Nadolol 80mg/5ml oral suspension,1,0204000M0AAAEAE
Ropinirole 12mg/5ml oral solution,1,0409010H0AAANAN
Ropinirole 12mg/5ml oral suspension,1,0409010H0AAANAN
Coal tar 12% / Salicylic acid 2% in Emulsifying ointment,1,1305020C0AAEGEG
Coal tar 3% / Salicylic acid 3% in Aqueous cream,1,1305020C0AAEBEB
Coal tar 5% / Salicylic acid 2% in Emulsifying ointment,1,1305020C0AAEMEM
Coal tar 6% / Salicylic acid 3% in Emulsifying ointment,1,1305020C0AAEPEP
Coal tar solution 10% in Betamethasone valerate 0.025% ointment,1,1304000F0AACRCR
Coal tar solution 10% in Betamethasone valerate 0.1% ointment,1,1304000F0AADMDM
Coal tar solution 10% in Emulsifying ointment,1,1305020C0AAERER
Coal tar solution 10% in White soft paraffin,1,1305020C0AAEQEQ
Coal tar solution 10% in Yellow soft paraffin,1,1305020C0AADXDX
Coal tar solution 12% in Yellow soft paraffin,1,1305020C0AAEHEH
Coal tar solution 12.5% in Emulsifying ointment,1,1305020C0AAECEC
Coal tar solution 15% in Aqueous cream,1,1305020C0AAEDED
Coal tar solution 15% in Betamethasone valerate 0.025% ointment,1,1304000F0AADHDH
Coal tar solution 20% in Emulsifying ointment,1,1305020C0AAEAEA
Coal tar solution 3% in Yellow soft paraffin,1,1305020C0AAENEN
Coal tar solution 5% in Betamethasone valerate 0.025% ointment,1,1304000F0AAECEC
Coal tar solution 5% in Betamethasone valerate 0.1% ointment,1,1304000F0AADGDG
Coal tar solution 5% in White soft paraffin,1,1305020C0AAEIEI
Coal tar solution 6% in Betamethasone valerate 0.1% ointment,1,1304000F0AADEDE
Salicylic acid 10% in Aqueous cream,1,1305020S0AACRCR
Salicylic acid 10% in Emulsifying ointment,1,1307000M0AABVBV
Salicylic acid 10% in Hydrous ointment,1,1307000M0AABVBV
Salicylic acid 10% in White soft paraffin,1,1307000M0AABVBV
Salicylic acid 2% in Aqueous cream,1,1305020S0AACSCS
Salicylic acid 2% in Arachis oil,1,1305020S0AACDCD
Salicylic acid 2% in Hydrous ointment,1,1305020S0AABYBY
Salicylic acid 2% in White soft paraffin,1,1305020S0AACCCC
Salicylic acid 20% in Aqueous cream,1,1305020S0AABPBP
Salicylic acid 20% in Emulsifying ointment,1,1307000M0AABZBZ
Salicylic acid 20% in White soft paraffin,1,1307000M0AABZBZ
Salicylic acid 24% in Yellow soft paraffin,1,1305020S0AABNBN
Salicylic acid 3% / Lactic acid 3% in White soft paraffin,1,1307000M0AABTBT
Salicylic acid 3% in Aqueous cream,1,1305020S0AABTBT
Salicylic acid 3% in Emulsifying ointment,1,1305020S0AABVBV
Salicylic acid 40% in Yellow soft paraffin,1,1305020S0AABUBU
Salicylic acid 5% / Lactic acid 5% in White soft paraffin,1,1307000M0AABUBU
Salicylic acid 5% in Emulsifying ointment,1,1305020S0AACZCZ
Salicylic acid 5% in White soft paraffin,1,1305020S0AACZCZ
Salicylic acid 50% in Aqueous cream,1,1305020S0AACGCG
Melatonin 1mg/5ml oral solution,1,0401010ADAABTBT
Melatonin 1mg/5ml oral suspension,1,0401010ADAABTBT
Generic Jevity Plus HP gluten free liquid,4,090402000BBSEA0
Diclofenac 100mg/5ml oral solution,1,1001010C0AABJBJ
Diclofenac 100mg/5ml oral suspension,1,1001010C0AABJBJ
Pregabalin 200mg/5ml oral solution,1,0408010AEAAAKAK
Pregabalin 200mg/5ml oral suspension,1,0408010AEAAAKAK
Rasagiline 2mg/5ml oral solution,1,0409010Y0AAABAB
Rasagiline 2mg/5ml oral suspension,1,0409010Y0AAABAB
Melatonin 10mg/5ml oral solution,1,0401010ADAACDCD
Melatonin 10mg/5ml oral suspension,1,0401010ADAACECE
Testosterone propionate 1% cream,1,0604020P0AAAKAK
Vapour-permeable adhesive film dressing 7cm x 7.5cm,4,20030100312
Imipramine 125mg/5ml oral solution,1,0403010N0AAAPAP
Imipramine 125mg/5ml oral suspension,1,0403010N0AAAPAP
Valganciclovir 50mg/ml oral solution sugar free,1,0503022B0AAADAD
Generic Milupa PKU 2 Prima powder,4,090401000BBNVA0
Generic Milupa PKU 2 Secunda powder,4,090401000BBNWA0
Generic Milupa PKU 3 Advanta powder,4,090401000BBNXA0
Coconut oil 75% in Emulsifying ointment,1,1302010F0AAANAN
Dithranol 2% in White soft paraffin,1,1305020F0AAEJEJ
Topiramate 150mg/5ml oral solution,1,040801050AABSBS
Topiramate 150mg/5ml oral suspension,1,040801050AABSBS
Polyhydrated ionogens ointment and honey impregnated dressing 5cm x 6cm rectangular,2,20031700080
Polyhydrated ionogens ointment and honey impregnated dressing 8cm x 10cm rectangular,2,20031700081
Polyhydrated ionogens ointment and honey impregnated dressing 8cm x 20cm rectangular,2,20031700082
Soft silicone wound contact dressing with polyurethane foam film backing sterile 23cm x 23.2cm,4,20030900074
Methylphenidate 15mg/5ml oral solution,1,0404000M0AAAXAX
Coal tar solution 6% in White soft paraffin,1,1305020C0AAEYEY
Clobetasol 0.05% ointment 50% in White soft paraffin,1,1304000G0AACGCG
Salicylic acid 2% in Emulsifying ointment,1,1305020S0AACHCH
Generic SMA Gold Prem 2 Catch-up Formula powder gluten free sugar free,4,090900000BBKJA0
Menthol 1% in Calamine lotion,1,1303000AAAAAJAJ
Coal tar solution 10% in Aqueous cream,1,1305020C0AAEWEW
Dithranol 4% in White soft paraffin,1,1305020F0AAEIEI
Coal tar 6% in Yellow soft paraffin,1,1305020C0AAEXEX
Lamotrigine 60mg/5ml oral solution,1,0408010H0AABTBT
Lamotrigine 60mg/5ml oral suspension,1,0408010H0AABTBT
Co-careldopa 625microgram/2.5mg/5ml oral suspension,1,0409010N0AAATAT
Diamorphine 320mg/5ml oral solution,1,0407020K0AAFEFE
Salicylic acid 40% in White soft paraffin,1,1305020S0AACICI
Emulsifying ointment 50% / White soft paraffin 50%,1,1302010F0AAAPAP
Salicylic acid 25% in White soft paraffin,1,1305020S0AACJCJ
Potassium chloride 750mg/5ml oral solution,1,0902011U0AAASAS
Omeprazole 35mg/5ml oral solution,1,0103050P0AABIBI
Omeprazole 35mg/5ml oral suspension,1,0103050P0AABIBI
Salicylic acid 3% in White soft paraffin,1,1305020S0AACKCK
Ichthammol 2% in Hydrocortisone 1% ointment,1,1304000V0AAELEL
Ichthammol 5% in Hydrocortisone 1% ointment,1,1304000V0AAEMEM
Terbinafine 62.5mg/5ml oral solution,1,0502050C0AAADAD
Terbinafine 62.5mg/5ml oral suspension,1,0502050C0AAADAD
Losartan 100mg/5ml oral solution,1,0205052N0AAAFAF
Losartan 100mg/5ml oral suspension,1,0205052N0AAAFAF
Valganciclovir 570mg/5ml oral solution,1,0503022B0AAAEAE
Valganciclovir 570mg/5ml oral suspension,1,0503022B0AAAEAE
Vancomycin 125mg/5ml oral solution,1,0501070U0AAALAL
Vancomycin 125mg/5ml oral suspension,1,0501070U0AAALAL
Riluzole 50mg/5ml oral suspension,1,0409030R0AAACAC
Triclosan 1% liquid,1,1311050U0AAAIAI
Riluzole 50mg/5ml oral solution,1,0409030R0AAACAC
Betamethasone valerate 0.1% ointment 33% in White soft paraffin,1,1304000F0AADVDV
Urea 20% in Aqueous cream,1,1302010U0AAATAT
Primidone 100mg/5ml oral suspension,1,0408010U0AAATAT
Sildenafil 10mg/5ml oral solution,1,0704050Z0AAAGAG
Sildenafil 10mg/5ml oral suspension,1,0704050Z0AAAKAK
Dithranol 10% / Salicylic acid 2% in Emulsifying ointment,1,1305020F0AAEKEK
Quetiapine 50mg/5ml oral solution,1,0402010ABAAALAL
Quetiapine 50mg/5ml oral suspension,1,0402010ABAABEBE
Donepezil 10mg/5ml oral suspension,1,0411000D0AAAFAF
Escitalopram 20mg/ml oral drops sugar free,1,0403030X0AAAFAF
Brinzolamide 10mg/ml / Timolol 5mg/ml eye drops,1,1106000AJAAAAAA
Generic Qlaira tablets,4,0703010R0AAAAAA
Saliva replacement oromucosal spray,4,21210000003
Clozapine 50mg/ml oral suspension sugar free,1,0402010C0AAAEAE
Losartan 2.5mg/ml oral suspension sugar free,1,0205052N0AAAIAI
Nepafenac 1mg/ml eye drops,1,1108020AFAAAAAA
Generic TYR Anamix Junior oral powder 29g sachets,4,090401000BBPAA0
Pravastatin 40mg/5ml oral solution,1,0212000X0AAAHAH
Pravastatin 40mg/5ml oral suspension,1,0212000X0AAAHAH
Lansoprazole 10mg/5ml oral solution,1,0103050L0AAAIAI
Lansoprazole 10mg/5ml oral suspension,1,0103050L0AAAIAI
Coal tar solution 1% in Aqueous cream,1,1305020C0AAEVEV
Trospium chloride 20mg/5ml oral solution,1,0704020Z0AAACAC
Lansoprazole 20mg/5ml oral solution,1,0103050L0AAASAS
Lansoprazole 20mg/5ml oral suspension,1,0103050L0AAASAS
Magnesium chloride 2.5g/5ml oral solution,1,0905013D0AABFBF
Norethisterone 5mg/5ml oral suspension,1,0604012P0AAAEAE
Glucose 20% in glycerol nasal drops,1,1202020F0AAAEAE
Lansoprazole 40mg/5ml oral solution,1,0103050L0AAATAT
Sildenafil 12.5mg/5ml oral solution,1,0704050Z0AAAIAI
Lansoprazole 40mg/5ml oral suspension,1,0103050L0AAATAT
Sildenafil 12.5mg/5ml oral suspension,1,0704050Z0AAAIAI
Valproic acid 250mg/5ml oral solution,1,040801020AAAFAF
Valproic acid 250mg/5ml oral suspension,1,040801020AAAFAF
Lansoprazole 15mg/5ml oral solution,1,0103050L0AAAMAM
Bismuth subnitrate 20% / Iodoform 40% paste impregnated gauze dressing 1.25cm x 100cm,1,120203000AAABAB
Bismuth subnitrate 20% / Iodoform 40% paste impregnated gauze dressing 1.25cm x 200cm,1,120203000AAACAC
Bismuth subnitrate 20% / Iodoform 40% paste impregnated gauze dressing 1.25cm x 300cm,1,120203000AAADAD
Bismuth subnitrate 20% / Iodoform 40% paste impregnated gauze dressing 2.5cm x 100cm,1,120203000AAAEAE
Bismuth subnitrate 20% / Iodoform 40% paste impregnated gauze dressing 2.5cm x 200cm,1,120203000AAAFAF
Bismuth subnitrate 20% / Iodoform 40% paste impregnated gauze dressing 2.5cm x 300cm,1,120203000AAAGAG
Cavity dressing 3cm x 44cm,4,20030800041
Generic DryMax Extra dressing 10cm x 10cm square,4,20031700105
Generic DryMax Extra dressing 20cm x 20cm square,4,20031700106
Generic DryMax Extra dressing 10cm x 20cm rectangular,4,20031700107
Generic DryMax Extra dressing 20cm x 30cm rectangular,4,20031700108
Alginate dressing sterile 3cm x 44cm,4,20030200198
Transparent absorbent acrylic dressing with adhesive border 7.6cm x 9.5cm oval,4,20032400001
Transparent absorbent acrylic dressing with adhesive border 11.1cm x 12.7cm oval,4,20032400002
Transparent absorbent acrylic dressing with adhesive border 14.2cm x 15.8cm oval,4,20032400003
Generic Renastart oral powder 100g sachets,4,090402000BBSHA0
Generic PKU Anamix Infant powder gluten free,4,090401000BBPBA0
Generic MSUD Anamix Infant powder gluten free,4,090401000BBPDA0
Generic TYR Anamix Infant powder gluten free,4,090401000BBPGA0
Generic HYPER LYS Anamix Infant powder gluten free,4,090401000BBPIA0
Generic SOD Anamix Infant powder gluten free,4,090401000BBPMA0
Generic NKH Anamix Infant powder gluten free,4,090401000BBPNA0
Kaolin heavy 20.76% / Zinc oxide 4.5% cream,1,1302010H0AAAAAA
Diamorphine 250mg/5ml oral solution,1,0407020K0AAFFFF
Diamorphine 260mg/5ml oral solution,1,0407020K0AAFGFG
Diamorphine 270mg/5ml oral solution,1,0407020K0AAFHFH
Diamorphine 280mg/5ml oral solution,1,0407020K0AAFIFI
Diamorphine 290mg/5ml oral solution,1,0407020K0AAFJFJ
Diamorphine 300mg/5ml oral solution,1,0407020K0AAFKFK
Diamorphine 310mg/5ml oral solution,1,0407020K0AAFLFL
Diamorphine 330mg/5ml oral solution,1,0407020K0AAFMFM
Lansoprazole 15mg/5ml oral suspension,1,0103050L0AAAXAX
Lansoprazole 3mg/5ml oral suspension,1,0103050L0AAAKAK
Generic TYR Anamix Infant methionine free powder gluten free,4,090401000BBPLA0
Phenytoin 300mg/5ml oral solution,1,0408010Z0AABHBH
Phenytoin 300mg/5ml oral suspension,1,0408010Z0AABHBH
Alendronic acid 35mg/5ml oral solution,1,0606020A0AAADAD
Clonidine 90micrograms/5ml oral solution,1,0407042F0AAASAS
Clonidine 90micrograms/5ml oral suspension,1,0407042F0AAASAS
Glycopyrronium bromide 1% solution,1,1312000G0AAADAD
Glyceryl trinitrate 0.05% ointment,1,0107040A0AAAKAK
Cefuroxime 5% eye drops preservative free,1,1103010T0AAACAC
Terbinafine 125mg/5ml oral solution,1,0502050C0AAABAB
Terbinafine 125mg/5ml oral suspension,1,0502050C0AAABAB
Lansoprazole 3mg/5ml oral solution,1,0103050L0AAAKAK
Lansoprazole 4mg/5ml oral solution,1,0103050L0AAAPAP
Lansoprazole 4mg/5ml oral suspension,1,0103050L0AAAPAP
Lansoprazole 60mg/5ml oral suspension,1,0103050L0AAALAL
Lansoprazole 60mg/5ml oral solution,1,0103050L0AAALAL
Sildenafil 50mg/5ml oral solution,1,0704050Z0AAAHAH
Sildenafil 50mg/5ml oral suspension,1,0704050Z0AAAHAH
Olanzapine 1.25mg/5ml oral solution,1,040201060AAAJAJ
Olanzapine 1.25mg/5ml oral suspension,1,040201060AAAJAJ
Ranitidine 20mg/5ml oral solution,1,0103010T0AABCBC
Ranitidine 20mg/5ml oral suspension,1,0103010T0AABCBC
Sodium benzoate 100mg/5ml oral solution,1,0908010N0AABHBH
Salicylic acid 8% in White soft paraffin,1,1305020S0AACLCL
Oseltamivir 15mg/ml oral solution,1,0503040B0AAAEAE
Oseltamivir 15mg/ml oral suspension,1,0503040B0AAAEAE
Cefuroxime 5% eye drops,1,1103010T0AAAAAA
Generic Potter's Life Drops,4,091200000BDIRA0
Valsartan 40mg/5ml oral solution,1,0205052V0AAAEAE
Valsartan 40mg/5ml oral suspension,1,0205052V0AAAEAE
Valsartan 160mg/5ml oral suspension,1,0205052V0AAAGAG
Valsartan 160mg/5ml oral solution,1,0205052V0AAAGAG
Fexofenadine 180mg/5ml oral solution,1,0304010E0AAAEAE
Fexofenadine 180mg/5ml oral suspension,1,0304010E0AAAEAE
Amlodipine 2mg/5ml oral suspension,1,0206020A0AAANAN
Amlodipine 2mg/5ml oral solution,1,0206020A0AAANAN
Amlodipine 1.5mg/5ml oral solution,1,0206020A0AAAMAM
Amlodipine 1.5mg/5ml oral suspension,1,0206020A0AAAMAM
Hydroquinone 3% cream,1,1315000G0AAAQAQ
Riboflavin 20mg/5ml oral solution,1,0906025P0AABLBL
Riboflavin 20mg/5ml oral suspension,1,0906025P0AABLBL
Eprosartan 300mg/5ml oral solution,1,0205052W0AAADAD
Eprosartan 300mg/5ml oral suspension,1,0205052W0AAADAD
Glyceryl trinitrate 0.1% ointment,1,0107040A0AAAEAE
Silk shirts 10-12 years,4,20200000139
Hydrogel sheet without adhesive border 7.5cm x 7.5cm square,4,20031200050
