year,chemical,total_items,total_tabs_caps
2018,Olmesartan Medoxomil/Amlodipine,17281,634043
2019,Dapagliflozin/Metformin,17291,1153804
2019,Celiprolol Hydrochloride,17292,699159
2019,Methadone Hydrochloride,17572,2221325
2017,Fentanyl,17641,914520
2019,Dicycloverine Hydrochloride,17654,1455314
2017,Trifluoperazine,17671,1398130
2018,Riluzole,17686,987909
2017,Olmesartan Medoxomil/Amlodipine,17800,652151
2017,Torasemide,17955,622102
2018,Moclobemide,18014,983653
2017,Riluzole,18062,1000639
2018,Enalapril Maleate with Diuretic,18083,769305
2019,Telmisartan with Diuretic,18200,707842
2018,Naltrexone Hydrochloride,18429,399158
2017,Agomelatine,18440,713417
2017,Moclobemide,18543,1040232
2017,Metolazone,18659,247799
2018,Pethidine Hydrochloride,18675,1438287
2019,Prazosin Hydrochloride,18764,1703511
2018,Glycopyrronium Bromide,18848,1487061
2018,Agomelatine,18868,716570
2017,Rutosides,18959,1783407
2018,Glibenclamide,18989,1366010
2018,Nizatidine,19067,935371
2017,Clomethiazole,19119,850741
2018,Metolazone,19425,244782
2018,Olmesartan Medoxomil/Hydrochlorothiazide,19485,701694
2018,Timolol,19530,870791
2019,Propylthiouracil,19540,1684368
2017,Ulipristal Acet,19572,811009
2017,Naltrexone Hydrochloride,19720,425884
2018,Propafenone Hydrochloride,19789,1729958
2017,Enalapril Maleate with Diuretic,19804,861332
2018,Lormetazepam,19829,673420
2018,Simvastatin & Ezetimibe,20450,751440
2017,Olmesartan Medoxomil/Hydrochlorothiazide,20568,739441
2019,Dexamfetamine Sulfate,20733,2187518
2017,Pethidine Hydrochloride,20735,1575321
2017,Timolol,20836,955883
2018,Minoxidil,20853,1161842
2017,Glycopyrronium Bromide,20965,1706571
2017,Propafenone Hydrochloride,20977,1856267
2019,Empagliflozin/Metformin,21287,1384143
2017,Minoxidil,21434,1218116
2017,Dapagliflozin/Metformin,21551,1372399
2018,Nicardipine Hydrochloride,21562,1575349
2019,Almotriptan,21599,207294
2018,Buprenorph HCl/Naloxone HCl,21660,446591
2017,Glibenclamide,21701,1685052
2018,Co-Proxamol (Dextroprop HCl/Paracet),21952,3145884
2017,Fluvoxamine Maleate,22007,1107508
2018,Pentoxifylline,22191,1364890
2018,Aliskiren,22340,781954
2017,Lormetazepam,22342,755043
2017,Bupropion Hydrochloride,22595,1260251
2017,Ethosuximide,22625,2521223
2019,Oxycodone HCl/Naloxone HCl,22723,1256112
2019,Metformin Hydrochloride/Vildagliptin,22810,1486019
2017,Promethazine Teoclate,22925,720311
2018,Fluvoxamine Maleate,22956,1129892
2018,Bupropion Hydrochloride,23261,1327690
2019,Balsalazide Sodium,23265,4456426
2019,Entacapone,23313,2060937
2019,Perindopril Arginine with Diuretic,23325,1039260
2019,Perampanel,23470,655378
2018,Dronedarone Hydrochloride,23512,1462581
2018,Cilostazol,23634,1310812
2017,Dronedarone Hydrochloride,23852,1502913
2018,Ethosuximide,23903,2668721
2017,Promazine Hydrochloride,24171,1038535
2018,Valsartan/Amlodipine,24366,1003221
2017,Methylcellulose,24417,3340382
2018,Tolbutamide,24424,1711491
2017,Simvastatin & Ezetimibe,24537,896404
2018,Acenocoumarol,24802,2918383
2019,Raloxifene Hydrochloride,24917,859524
2017,Pentoxifylline,24939,1541823
2019,Chlordiazepoxide Hydrochloride,24946,1080361
2017,Aliskiren,24987,879215
2018,Oestrogens Conjugated with Progestogen,25124,2392256
2019,Vildagliptin,25267,1258587
2017,Valsartan/Amlodipine,25373,1036067
2018,Reboxetine,25692,1363438
2019,Glyceryl Trinitrate,25981,2629500
2017,Cilostazol,26034,1471245
2018,Doxepin,26666,1243344
2017,Nicardipine Hydrochloride,27247,1929358
2017,Nizatidine,27346,1381583
2019,Eprosartan,27669,996370
2017,Buprenorph HCl/Naloxone HCl,27838,533478
2019,Repaglinide,27848,2451522
2019,Liothyronine Sodium,28013,1460711
2019,Frovatriptan,28023,277353
2018,Ciprofibrate,28056,895184
2017,Reboxetine,28173,1476810
2017,Acenocoumarol,28491,3319021
2019,Budesonide,28603,2043518
2017,Tetrabenazine,29527,1554233
2019,Linagliptin/Metformin,29631,1804673
2019,Pericyazine,29654,1595581
2018,Tetrabenazine,29769,1558591
2018,Dapagliflozin/Metformin,29897,1944343
2018,Empagliflozin/Metformin,30057,1952821
2017,Doxepin,30264,1432962
2017,Dipyridamole & Aspirin,30501,2112856
2017,Tolbutamide,30549,2160853
2019,Prasugrel,31019,938787
2018,Promethazine Teoclate,31048,949043
2019,Propantheline Bromide,31154,3254217
2019,Valsartan with Diuretic,31454,1209139
2017,Ciprofibrate,32528,1055900
2019,Captopril,32616,2181978
2018,Glipizide,32702,2643085
2019,Alogliptin/Metformin,33057,2052248
2018,Cimetidine,33209,1991089
2017,Cimetidine,33503,1993023
2018,Selegiline Hydrochloride,33866,1189866
2019,Meptazinol Hydrochloride,34116,2766880
2018,Betamethasone Sodium Phosphate,34259,2632932
2017,Disulfiram,34404,829197
2018,Acarbose,34506,2715094
2018,Disulfiram,34598,808891
2019,Hyoscine Hydrobromide,35401,1527507
2019,Methyldopa,35490,2731559
2019,Analgesics with Anti-Emetics,35514,1244435
2019,Isosorbide Dinitrate,35775,1781495
2018,Levomepromazine Maleate,35786,1244674
2017,Levomepromazine Maleate,35967,1323291
2018,Loprazolam Mesilate,36407,1135396
2019,Cabergoline,36719,453802
2017,Co-Proxamol (Dextroprop HCl/Paracet),36831,5293753
2019,Terazosin Hydrochloride,37104,1392234
2018,Celiprolol Hydrochloride,37148,1508458
2019,Trandolapril,37203,1498369
2017,Perampanel,37336,1082921
2017,Dexamfetamine Sulfate,37371,4438409
2017,Betamethasone Sodium Phosphate,37371,2912090
2017,Selegiline Hydrochloride,37462,1326967
2018,Metformin Hydrochloride/Pioglitazone,37977,2475266
2019,Oxazepam,38372,1711908
2018,Methadone Hydrochloride,38381,4783786
2019,Buprenorphine,38501,2776283
2017,Acarbose,38712,3087590
2017,Vortioxetine,38824,885669
2018,Dexamfetamine Sulfate,39009,4364365
2018,Propylthiouracil,39077,3416455
2017,Propylthiouracil,39862,3536174
2018,Trimipramine Maleate,39881,2100203
2018,Perindopril Arginine,39895,1588050
2019,Zuclopenthixol Hydrochloride,40282,4504100
2017,Celiprolol Hydrochloride,40458,1654808
2017,Methadone Hydrochloride,40463,5013897
2019,Modafinil,40512,2637424
2017,Loprazolam Mesilate,40562,1274122
2017,Linaclotide,42150,1359540
2017,Alogliptin/Metformin,42284,2528387
2018,Perampanel,42652,1205480
2017,Sacubitril/Valsartan,42667,2298472
2018,Dicycloverine Hydrochloride,42852,3491405
2018,Prazosin Hydrochloride,43255,4080591
2017,Progesterone,43304,2644400
2018,Almotriptan,43835,417353
2018,Telmisartan with Diuretic,44511,1736642
2017,Almotriptan,44633,417607
2019,Colesevelam Hydrochloride,46234,6294645
2017,Prazosin Hydrochloride,46971,4433087
2017,Metformin Hydrochloride/Pioglitazone,47047,3057898
2018,Linaclotide,47058,1517852
2017,Telmisartan with Diuretic,47272,1845544
2017,Perindopril Arginine,47284,1851504
2018,Entacapone,48145,4271759
2018,Balsalazide Sodium,48341,9264810
2019,Irbesartan with Diuretic,48720,1902959
2017,Linagliptin/Metformin,49391,2981286
2017,Entacapone,49800,4378377
2019,Oxcarbazepine,49839,3767060
2018,Metformin Hydrochloride/Vildagliptin,50385,3310617
2017,Budesonide,50418,3760677
2017,Balsalazide Sodium,50499,9756681
2017,Trimipramine Maleate,51685,2827862
2019,Midodrine Hydrochloride,52908,4119813
2018,Oxycodone HCl/Naloxone HCl,53602,2981370
2019,Trihexyphenidyl Hydrochloride,54044,3219118
2019,Co-Amilozide (Amiloride HCl/Hydchloroth),54161,2047225
2019,Omega-3-Acid Ethyl Esters,54310,3547433
2018,Budesonide,54361,3929123
2018,Raloxifene Hydrochloride,54390,1876277
2017,Metformin Hydrochloride/Vildagliptin,54784,3619578
2018,Alogliptin/Metformin,55041,3387604
2018,Perindopril Arginine with Diuretic,55063,2474392
2018,Chlordiazepoxide Hydrochloride,55076,2403446
2017,Frovatriptan,55324,526443
2019,Vortioxetine,55590,1295425
2019,Fluvastatin Sodium,55643,1895184
2018,Frovatriptan,56030,547585
2019,Prucalopride,56077,1724444
2018,Glyceryl Trinitrate,56404,5707000
2017,Dicycloverine Hydrochloride,56437,4581961
2018,Linagliptin/Metformin,56472,3457139
2019,Labetalol Hydrochloride,56748,4409097
2019,Atomoxetine Hydrochloride,57159,1816797
2018,Vildagliptin,57571,2848366
2018,Pericyazine,57753,3096676
2019,Lisinopril with Diuretic,58238,2331884
2017,Raloxifene Hydrochloride,58988,2055912
2017,Pericyazine,59374,3353458
2018,Repaglinide,59730,5268594
2019,Estradiol Valerate,59743,5039170
2017,Hyoscine Hydrobromide,60275,2351118
2017,Propantheline Bromide,60811,6218009
2018,Eprosartan,61010,2247857
2019,Progesterone,61110,3795490
2018,Liothyronine Sodium,61112,3175042
2019,Naftidrofuryl Oxalate,61458,5459512
2019,Acamprosate Calcium,62284,6131074
2019,Sulpiride,62330,2938257
2019,Medroxyprogesterone Acetate,62404,3422152
2018,Propantheline Bromide,62821,6483957
2017,Midodrine Hydrochloride,62973,5000995
2019,Amantadine Hydrochloride,63853,3164334
2017,Chlordiazepoxide Hydrochloride,64040,2825270
2017,Oxycodone HCl/Naloxone HCl,64406,3562803
2017,Vildagliptin,64570,3254668
2017,Perindopril Arginine with Diuretic,64890,2907210
2017,Repaglinide,65063,5790021
2017,Glyceryl Trinitrate,65436,6621050
2017,Quinapril Hydrochloride,65848,2596190
2018,Prasugrel,66353,2024401
2017,Liothyronine Sodium,67934,3561850
2018,Meptazinol Hydrochloride,68307,5611702
2017,Meptazinol Hydrochloride,68820,5662469
2018,Hyoscine Hydrobromide,69318,2753570
2017,Colesevelam Hydrochloride,70006,9709516
2017,Cabergoline,70090,892568
2019,Lisdexamfetamine Dimesylate,70153,2007550
2019,Lacosamide,71121,3902443
2017,Prasugrel,71503,2204295
2018,Progesterone,71628,4377117
2017,Zuclopenthixol Hydrochloride,71802,8085207
2018,Cabergoline,72249,909012
2017,Oestrogens Conjugated with Progestogen,72298,7260237
2019,Naratriptan Hydrochloride,72490,739434
2019,Desmopressin Acetate,72598,4232444
2018,Methyldopa,72980,5643672
2018,Captopril,74046,4998511
2018,Vortioxetine,74341,1730661
2018,Isosorbide Dinitrate,75100,3869424
2019,Primidone,75480,4990695
2019,Co-Tenidone (Atenolol/Chlortalidone),76992,2946299
2019,Imipramine Hydrochloride,77044,5801797
2017,Methyldopa,77051,6009219
2018,Zuclopenthixol Hydrochloride,77104,8633500
2018,Valsartan with Diuretic,77820,3012008
2017,Eprosartan,77851,2881088
2019,Tapentadol Hydrochloride,78171,4776364
2019,Zonisamide,78691,5228055
2019,Metformin Hydrochloride/Sitagliptin,78807,5148320
2017,Lisdexamfetamine Dimesylate,78995,2313291
2019,Levodopa/Carbidopa/Entacapone,79089,7331982
2017,Glipizide,79575,6255048
2019,Ibandronic Acid,79597,654236
2017,Modafinil,79854,5181357
2019,Amiloride Hydrochloride,80617,2908857
2018,Modafinil,81030,5261794
2017,Isosorbide Dinitrate,81256,4288490
2019,Galantamine,81947,1769818
2018,Trandolapril,82015,3276431
2018,Terazosin Hydrochloride,82034,3102016
2019,Flupentixol Hydrochloride,82244,3651019
2018,Colesevelam Hydrochloride,82351,11375689
2017,Valsartan with Diuretic,82753,3191651
2017,Captopril,83085,5675247
2018,Buprenorphine,84111,6054062
2018,Oxazepam,84769,3838834
2017,Prucalopride,85009,2645189
2019,Lofepramine Hydrochloride,86173,4809781
2019,Hydralazine Hydrochloride,87260,4846838
2018,Midodrine Hydrochloride,87462,6898494
2019,Buspirone Hydrochloride,87967,4494082
2019,Sacubitril/Valsartan,88751,4856227
2017,Buprenorphine,89478,6636562
2019,Oestrogens Conjugated,90072,7202441
2017,Oxcarbazepine,90525,6851921
2019,Phenobarbital,90625,5691064
2017,Terazosin Hydrochloride,90907,3444277
2019,Tibolone,92850,5272949
2018,Estradiol Valerate,93812,7766152
2019,Rivastigmine,94010,3980343
2017,Edoxaban,94165,2553112
2017,Oxazepam,95219,4339624
2017,Estradiol Valerate,95592,7885506
2018,Oxcarbazepine,95813,7142693
2019,Dexamethasone,97133,3889714
2018,Prucalopride,97613,3021944
2019,Rasagiline Mesilate,99753,2806642
2019,Losartan Potassium With Diuretic,99890,3920416
2017,Medroxyprogesterone Acetate,101091,5505371
2017,Trandolapril,106752,4011296
2018,Lisdexamfetamine Dimesylate,106950,3067187
2018,Trihexyphenidyl Hydrochloride,109011,6629452
2017,Atomoxetine Hydrochloride,110457,3560242
2018,Sacubitril/Valsartan,110492,6073553
2017,Trihexyphenidyl Hydrochloride,110746,6788902
2019,Ondansetron Hydrochloride,111517,4252052
2018,Atomoxetine Hydrochloride,112263,3588379
2019,Saxagliptin,112901,3346014
2019,Clomipramine Hydrochloride,114986,6933066
2018,Fluvastatin Sodium,115855,3962498
2017,Lacosamide,115920,6427780
2017,Naftidrofuryl Oxalate,118340,10568089
2018,Medroxyprogesterone Acetate,118456,6440269
2019,Alverine Citrate,121342,10061909
2017,Fluvastatin Sodium,121359,4131543
2018,Naftidrofuryl Oxalate,122546,10840831
2019,Chlorpromazine Hydrochloride,122801,5336442
2018,Irbesartan with Diuretic,124308,4888659
2017,Amantadine Hydrochloride,125757,6256714
2019,Haloperidol,127899,5145070
2018,Amantadine Hydrochloride,128318,6321134
2018,Labetalol Hydrochloride,129210,9797023
2018,Acamprosate Calcium,129559,12633642
2018,Sulpiride,130115,6244610
2018,Lacosamide,130624,7269044
2017,Acamprosate Calcium,130633,13128522
2017,Labetalol Hydrochloride,132433,9965272
2017,Irbesartan with Diuretic,132644,5237021
2018,Co-Amilozide (Amiloride HCl/Hydchloroth),133715,5149424
2019,Nefopam Hydrochloride,133757,12445891
2017,Tapentadol Hydrochloride,134193,8310383
2017,Sulpiride,135899,6540884
2019,Dipyridamole,136640,9868298
2019,Clobazam,137858,5900908
2018,Omega-3-Acid Ethyl Esters,138486,8791255
2017,Zonisamide,141872,9665195
2017,Desmopressin Acetate,143995,8219742
2018,Desmopressin Acetate,144615,8312708
2019,Dutasteride,146750,4586414
2018,Tapentadol Hydrochloride,147280,9089861
2017,Co-Amilozide (Amiloride HCl/Hydchloroth),147927,5744277
2017,Primidone,148265,9551944
2019,Ursodeoxycholic Acid,149067,14962697
2018,Naratriptan Hydrochloride,149078,1509130
2018,Imipramine Hydrochloride,149405,11409738
2018,Lisinopril with Diuretic,149841,5993093
2018,Primidone,149992,9746790
2019,Zolmitriptan,150886,1620728
2018,Analgesics with Anti-Emetics,151089,3764109
2018,Zonisamide,152012,10204967
2017,Metformin Hydrochloride/Sitagliptin,153529,10116260
2019,Alginic Acid Compound Preparations,154672,12028412
2017,Naratriptan Hydrochloride,154962,1554038
2017,Imipramine Hydrochloride,155290,11891621
2019,Varenicline Tartrate,159950,4239100
2019,Rizatriptan,160479,1383318
2018,Metformin Hydrochloride/Sitagliptin,161103,10527022
2017,Hydralazine Hydrochloride,161235,8941349
2018,Ibandronic Acid,161376,1034703
2019,Co-Amilofruse (Amiloride HCl/Frusemide),162463,5361772
2019,Telmisartan,162665,5994880
2017,Ibandronic Acid,163932,709851
2019,Domperidone,164486,9819004
2018,Amiloride Hydrochloride,164779,5943385
2018,Flupentixol Hydrochloride,165464,7450154
2017,Amiloride Hydrochloride,166495,6063832
2017,Flupentixol Hydrochloride,167124,7637589
2018,Levodopa/Carbidopa/Entacapone,167618,15353131
2017,Buspirone Hydrochloride,169473,8530704
2018,Hydralazine Hydrochloride,169632,9424350
2018,Co-Tenidone (Atenolol/Chlortalidone),171402,6610633
2019,Cinnarizine,172294,14321311
2018,Galantamine,172686,3760025
2019,Rabeprazole Sodium,173229,6882905
2018,Buspirone Hydrochloride,174391,8809136
2017,Omega-3-Acid Ethyl Esters,175450,10934255
2017,Levodopa/Carbidopa/Entacapone,176798,16170783
2019,Estradiol,178332,14684020
2019,Orlistat,178590,16351441
2017,Tibolone,179191,10614466
2017,Lisinopril with Diuretic,181232,7230886
2018,Tibolone,184457,10667831
2017,Ondansetron Hydrochloride,185666,7057648
2017,Rivastigmine,186461,7728460
2017,Galantamine,186492,4031287
2018,Rivastigmine,186700,7805091
2018,Oestrogens Conjugated,187669,15187779
2018,Phenobarbital,188559,11912802
2019,Moxonidine,192212,8215770
2019,Amisulpride,192967,7086256
2017,Co-Tenidone (Atenolol/Chlortalidone),194239,7549601
2018,Lofepramine Hydrochloride,194245,10777392
2017,Phenobarbital,198043,12558111
2017,Rasagiline Mesilate,198570,5615368
2018,Rasagiline Mesilate,200307,5654823
2019,Valsartan,201775,8331362
2019,Norethisterone,201971,11114868
2017,Oestrogens Conjugated,202833,16653453
2018,Dexamethasone,202927,8180746
2019,Bezafibrate,207587,7796892
2018,Ondansetron Hydrochloride,207874,7945443
2017,Analgesics with Anti-Emetics,208820,4902741
2019,Flecainide Acetate,209274,15131150
2019,Clonidine Hydrochloride,209712,23612030
2019,Tranexamic Acid,209973,13652610
2019,Hydrocortisone,210100,13972093
2017,Dexamethasone,210509,8406200
2017,Lofepramine Hydrochloride,210804,11842600
2019,Metoprolol Tartrate,212250,9932630
2019,Nitrazepam,213298,5807349
2019,Ranolazine,217061,11193968
2019,Olmesartan Medoxomil,221086,7110613
2019,Canagliflozin,226506,7571410
2019,Pramipexole,226854,12326866
2019,Dabigatran Etexilate,234572,14079253
2019,Sotalol Hydrochloride,236682,15283370
2019,Amiodarone Hydrochloride,237482,6553829
2018,Losartan Potassium With Diuretic,237825,9416439
2019,Ivabradine,241229,11148651
2017,Losartan Potassium With Diuretic,243921,9726378
2018,Saxagliptin,257161,7563043
2019,Pizotifen Malate,259284,12351042
2018,Alverine Citrate,259761,21628672
2019,Fludrocortisone Acetate,260086,8362488
2018,Haloperidol,260602,10546678
2017,Clobazam,260669,11480741
2018,Chlorpromazine Hydrochloride,260719,11610427
2019,Peppermint Oil,262707,22092636
2018,Nefopam Hydrochloride,267964,24681207
2017,Ursodeoxycholic Acid,269822,27264128
2017,Alverine Citrate,271471,22487640
2018,Clobazam,271807,11798850
2019,Fenofibrate,273222,9225971
2019,Buprenorphine Hydrochloride,274440,6291444
2017,Haloperidol,277678,11491052
2018,Clomipramine Hydrochloride,279922,18681281
2017,Chlorpromazine Hydrochloride,280368,12634340
2019,Carbimazole,281039,12987543
2019,Nebivolol,283703,9254166
2019,Ticagrelor,283905,15873804
2019,Lacidipine,283925,10216570
2018,Ursodeoxycholic Acid,287525,28834151
2019,Carvedilol,287556,14605146
2017,Saxagliptin,290838,8626994
2019,Valproic Acid,293489,13459025
2017,Dutasteride,294146,9344777
2019,Pancreatin,294212,76744899
2017,Clomipramine Hydrochloride,297594,18026830
2019,Dosulepin Hydrochloride,299983,15559683
2018,Dutasteride,300688,9453126
2017,Ranolazine,301794,15644052
2018,Zolmitriptan,303247,3230991
2017,Zolmitriptan,303346,3197583
2019,Glimepiride,304688,10598791
2019,Edoxaban,307481,8521269
2019,Ropinirole Hydrochloride,310629,14815479
2017,Rizatriptan,315296,2643156
2019,Risedronate Sodium,315469,1702562
2018,Rizatriptan,316991,2705325
2019,Nortriptyline,317213,20345189
2019,Zolpidem Tartrate,318667,7156371
2017,Nefopam Hydrochloride,318808,28919728
2019,Verapamil Hydrochloride,324797,17522557
2018,Varenicline Tartrate,325229,8645567
2019,Metoclopramide Hydrochloride,332777,17251505
2018,Alginic Acid Compound Preparations,334674,25829920
2019,Phenytoin Sodium,337050,19270815
2018,Telmisartan,339971,12387052
2018,Edoxaban,342365,9440827
2017,Telmisartan,350087,12503055
2018,Cinnarizine,353819,29274672
2018,Rabeprazole Sodium,354838,14066766
2018,Dipyridamole,355770,25597831
2017,Estradiol,360081,30088535
2017,Rabeprazole Sodium,363133,14363152
2018,Domperidone,366467,22279733
2018,Orlistat,370660,33879977
2017,Alginic Acid Compound Preparations,371229,28290763
2018,Ranolazine,373458,19353014
2017,Cinnarizine,375285,30857018
2018,Co-Amilofruse (Amiloride HCl/Frusemide),375694,12602626
2019,Pioglitazone Hydrochloride,378764,11892222
2019,Eplerenone,386448,10452448
2018,Estradiol,387031,32266736
2017,Canagliflozin,387640,12872716
2017,Amisulpride,389320,14682512
2018,Amisulpride,390131,14510204
2017,Tranexamic Acid,392684,26056989
2017,Varenicline Tartrate,395247,10333772
2017,Hydrocortisone,400769,26248229
2017,Orlistat,401147,36401360
2018,Tranexamic Acid,403879,26437225
2018,Moxonidine,406299,17311199
2017,Flecainide Acetate,409413,30118456
2019,Sulfasalazine,409684,52584501
2018,Hydrocortisone,415085,27440533
2018,Flecainide Acetate,415962,30315426
2018,Canagliflozin,416674,13902668
2018,Valsartan,422397,17078338
2017,Valsartan,425290,17517279
2019,Lithium Carbonate,426261,15713515
2017,Moxonidine,428860,18235591
2017,Pramipexole,429774,23813034
2019,Estradiol with Progestogen,430737,39544065
2018,Clonidine Hydrochloride,430978,48807814
2019,Procyclidine Hydrochloride,431947,15055104
2017,Domperidone,440354,27137023
2017,Clonidine Hydrochloride,440660,50530486
2017,Co-Amilofruse (Amiloride HCl/Frusemide),443703,14857792
2018,Bezafibrate,444140,17321716
2018,Pramipexole,445032,24346286
2017,Ivabradine,445854,20162269
2019,Temazepam,448497,11180988
2017,Dipyridamole,449365,31904552
2017,Empagliflozin,449724,14156478
2018,Norethisterone,450630,24864342
2018,Olmesartan Medoxomil,450880,14480277
2019,Melatonin,455997,23443810
2017,Dabigatran Etexilate,457266,26865224
2019,Cyclizine Hydrochloride,459737,23658578
2019,Topiramate,466556,30904179
2018,Nitrazepam,468225,12871329
2017,Bezafibrate,470502,18673791
2017,Olmesartan Medoxomil,473265,15213052
2018,Ivabradine,474434,21558099
2017,Fludrocortisone Acetate,476900,15678747
2018,Dabigatran Etexilate,477484,28378318
2019,Clonazepam,477522,19633261
2019,Co-Beneldopa (Benserazide/Levodopa),491524,43974645
2017,Norethisterone,492526,27413506
2018,Amiodarone Hydrochloride,496404,13707076
2018,Sotalol Hydrochloride,496517,32117980
2017,Ticagrelor,507613,28303956
2018,Fludrocortisone Acetate,509390,16533910
2017,Pancreatin,510322,125366430
2019,Lorazepam,519563,14942107
2017,Nitrazepam,522241,14587277
2017,Amiodarone Hydrochloride,522286,14504614
2018,Pizotifen Malate,525824,24921017
2019,Bisacodyl,527602,24447214
2019,Methylphenidate Hydrochloride,527619,20962636
2017,Carbimazole,529051,26773901
2019,Dapagliflozin,534217,17309290
2017,Pizotifen Malate,535974,25515638
2018,Peppermint Oil,538519,45366806
2017,Sotalol Hydrochloride,540121,34991882
2017,Carvedilol,548265,27896589
2018,Fenofibrate,550591,18746323
2018,Ticagrelor,551935,30740826
2018,Carbimazole,553036,27052317
2019,Trazodone Hydrochloride,553102,19449077
2017,Fenofibrate,553899,19144297
2017,Peppermint Oil,554669,47235514
2018,Pancreatin,555712,136317095
2017,Nebivolol,559316,18260244
2019,Aripiprazole,561153,13493996
2017,Lacidipine,561478,20317967
2018,Nebivolol,564987,18441370
2018,Carvedilol,565487,28604387
2018,Lacidipine,569528,20519546
2018,Metoprolol Tartrate,571803,27005312
2019,Mesalazine (Systemic),573844,81646369
2019,Empagliflozin,586197,18559895
2017,Nortriptyline,586770,37975206
2019,Escitalopram,595256,18900609
2017,Ropinirole Hydrochloride,599397,29066413
2018,Valproic Acid,600071,27877345
2018,Nortriptyline,607344,38937733
2017,Valproic Acid,613981,28481389
2017,Metoprolol Tartrate,614030,29098724
2018,Ropinirole Hydrochloride,617846,29680056
2017,Eplerenone,618379,16851349
2019,Alogliptin,626715,19218286
2019,Co-Careldopa (Carbidopa/Levodopa),627662,57226918
2019,Memantine Hydrochloride,637775,14274822
2019,Pantoprazole,642670,24681845
2017,Alogliptin,643273,19953551
2018,Risedronate Sodium,649625,3519146
2019,Paroxetine Hydrochloride,650978,23448409
2018,Glimepiride,651406,22671854
2018,Zolpidem Tartrate,658068,14858616
2017,Risedronate Sodium,670602,3650692
2018,Verapamil Hydrochloride,675822,36322605
2017,Zolpidem Tartrate,686199,15708823
2017,Glimepiride,694181,24301683
2017,Melatonin,697033,37129046
2018,Metoclopramide Hydrochloride,697310,36482492
2019,Oxycodone Hydrochloride,698469,36729193
2018,Dosulepin Hydrochloride,702391,36371115
2017,Verapamil Hydrochloride,708262,38127625
2018,Eplerenone,709816,19268330
2019,Hyoscine Butylbromide,709894,60599783
2018,Phenytoin Sodium,711116,40833504
2019,Nicorandil,722153,39812124
2017,Estradiol with Progestogen,731573,67425648
2017,Buprenorphine Hydrochloride,734236,16325161
2017,Phenytoin Sodium,754006,43526789
2019,Prochlorperazine Maleate,755291,33731289
2017,Metoclopramide Hydrochloride,756995,40129504
2018,Buprenorphine Hydrochloride,758212,16821939
2019,Dihydrocodeine Tartrate,775964,69086672
2019,Enalapril Maleate,788277,33236972
2018,Pioglitazone Hydrochloride,811345,25603657
2019,Risperidone,811852,26378311
2019,Betahistine Hydrochloride,813026,64876189
2017,Dosulepin Hydrochloride,814961,42689965
2019,Sumatriptan Succinate,815831,7970886
2018,Melatonin,819004,42611531
2019,Loperamide Hydrochloride,825578,67122129
2017,Dapagliflozin,826569,26843764
2018,Estradiol with Progestogen,831301,76924775
2018,Sulfasalazine,832616,107442808
2017,Sulfasalazine,834260,108571430
2017,Topiramate,839186,56586019
2019,Bumetanide,843977,37259382
2018,Empagliflozin,845929,26736487
2019,Nifedipine,853515,41469285
2018,Lithium Carbonate,861795,32089895
2017,Lithium Carbonate,867851,32919491
2017,Procyclidine Hydrochloride,870092,31318428
2017,Pioglitazone Hydrochloride,871207,27720247
2018,Procyclidine Hydrochloride,874166,30795625
2019,Co-Dydramol (Dihydrocodeine/Paracet),891818,100474633
2019,Irbesartan,895310,32394034
2017,Cyclizine Hydrochloride,896265,47136150
2018,Topiramate,898809,60014164
2019,Ezetimibe,902031,29028329
2018,Cyclizine Hydrochloride,911825,47414309
2017,Clonazepam,923023,38960168
2017,Co-Beneldopa (Benserazide/Levodopa),933548,82196356
2018,Clonazepam,946631,39351572
2017,Aripiprazole,950749,23290455
2017,Methylphenidate Hydrochloride,950920,38761548
2018,Co-Beneldopa (Benserazide/Levodopa),963418,84979059
2018,Dapagliflozin,971116,31568727
2018,Temazepam,982834,24555076
2019,Esomeprazole,988044,40795783
2018,Methylphenidate Hydrochloride,995136,39955076
2018,Alogliptin,996770,30620472
2017,Escitalopram,997656,31359589
2017,Memantine Hydrochloride,1021271,23250009
2019,Donepezil Hydrochloride,1022913,20599653
2019,Mebeverine Hydrochloride,1025027,79480418
2019,Linagliptin,1025601,27035755
2018,Aripiprazole,1048197,25497274
2018,Lorazepam,1051727,30685783
2017,Lorazepam,1067772,31870941
2019,Levetiracetam,1069916,65198312
2017,Trazodone Hydrochloride,1072522,38517002
2019,Carbamazepine,1072758,73040116
2018,Escitalopram,1089018,34392178
2019,Docusate Sodium,1094832,68518521
2017,Temazepam,1102905,27786105
2018,Trazodone Hydrochloride,1105406,39058621
2019,Sodium Valproate,1113679,82049984
2017,Mesalazine (Systemic),1142991,165415151
2018,Mesalazine (Systemic),1153988,165265125
2018,Memantine Hydrochloride,1156895,25926397
2018,Bisacodyl,1165565,53891424
2017,Co-Careldopa (Carbidopa/Levodopa),1173985,106525714
2019,Olanzapine,1190258,27935892
2019,Rosuvastatin Calcium,1207718,40486417
2017,Pantoprazole,1225581,46752795
2018,Co-Careldopa (Carbidopa/Levodopa),1226462,111577327
2019,Sitagliptin,1231651,37470006
2019,Duloxetine Hydrochloride,1242678,39475139
2017,Bisacodyl,1246544,57521783
2019,Pravastatin Sodium,1251370,41194547
2018,Pantoprazole,1268862,48368121
